Сырье;Sherwin-Williams;Air Products;Freeport-McMoran;Southern Copper;Норникель;Newmont Goldcorp;Dow;PPG Industries;Nucor;Albemarle;Полюс;International Paper;Северсталь;НЛМК;Mosaic;OK Rusal MKPAO;АК АЛРОСА;CF Industries;Cleveland-Cliffs;ММК;ФосАгро;Alcoa;Polymetal;ЭН+ Груп;Korporatsiya VSMPO AVISMA PAO;Livent;Акрон;Renewable Energy;Нижнекамскнефтехим;Нижнекамскнефтехим (прив.);Органический синтез;Органический Синтез;Petropavlovsk;КуйбышевАзот;Куйбышевазот;Мечел;Мечел (прив.);АЛРОСА-Нюрба;Селигдар;Селигдар (прив.);Русолово OAO;ЧМК;Коршуновский ГОК;Lenzoloto PAO Prf;Лензолото;Ashinskiy Metzavod PAO;Бурятзолото;Южно-Уральский никелевый;Соликамский магниевый;Ковровский механический
Сырье;Ижсталь;Химпром (прив.);Химпром;ВХЗ;Электроцинк;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нецикличные компании;Procter&Gamble;Coca-Cola;PepsiCo;Philip Morris;Mondelez;Altria;Colgate-Palmolive;Monster Beverage;Kraft Heinz;Kimberly-Clark;General Mills;Archer-Daniels-Midland;Hershey Co;IFF;Brown Forman;Corteva;Corning;Tyson Foods;Hormel Foods;McCormick&Co;Kellogg;Clorox;ConAgra Foods;Campbell Soup;Newell Brands;Molson Coors Brewing B;Coty Inc;Beyond Meat;Группа Черкизово;Белуга;Русская Аквакультура;НКХП ПАО;Абрау-Дюрсо;Красный Октябрь;Красный Октябрь (прив.);Русгрэйн Холдинг;Сибирский гостинец;;;;;;;;;;;;;
Энергетика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Транспорт;United Parcel Service;Union Pacific;CSX;FedEx;Southwest Airlines;Delta Air Lines;Expeditors Washington;United Airlines Holdings;American Airlines;CH Robinson;Sovkomflot PAO;Аэрофлот;НМТП;Globaltrans Inv;Dal’nevostochnoye Morskoye Parokhodstvo PAO;Авиакомпания ЮТэйр;НПК ОВК;Выборгский ССЗ;Выборгский ССЗ (прив.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Коммунальные услуги;NextEra Energy;Duke Energy;Southern;Dominion Energy;Exelon;American Electric Power;Kinder Morgan;Xcel Energy;Public Service Enterprise;Consolidated Edison;PPL;FirstEnergy;CMS Energy;The AES;CenterPoint Energy;Atmos Energy;NiSource;NRG;РусГидро;Интер РАО ЕЭС ОАО;Rossiyskiye Seti PAO;Rossiyskiye Seti PAO Prf;ФСК ЕЭС ОАО;Юнипро;Ленэнерго;Ленэнерго (прив.);Мосэнерго;ОГК-2 ОАО;Иркутскэнерго;МОЭСК ОАО;Rosseti Sibir’ PAO;ТГК №1 ОАО;Энел Россия ОАО;Россети Центр и Приволжье;Rosseti Severnyi Kavkaz PAO;ДЭК ОАО;Кубаньэнерго;TNS Energo Voronezh PAO Prf;Воронежская ЭСК;МРСК Центра;Mezhregional’naya Raspredelitel’naya Setevaya Komp;ТНС энерго;Камчатскэнерго;Камчатскэнерго (прив.);Rosseti Volga PAO;ТНС Энерго Нижний Новгород;ТНС энерго Нижний Новогород (прив.);Rosseti Yug PAO;ТНС энерго Ростов-на-Дону;ТНС энерго Ростов-на-Дону
Коммунальные услуги;КГК (прив.);КГК;Пермэнергосбыт;Пермэнергосбыт (прив.);Красноярскэнергосбыт;Красноярскэнергосбыт (прив.);МРСК Севера-Запада;Сахалинэнерго;Territorial’naya Generiruyushchaya Kompaniya No2 P;Territorial’naya Generiruyushchaya Kompaniya No2 P;Магаданэнерго;Магаданэнерго (прив.);Газпром Ростов-на-Дону;Самараэнерго ОАО;Самараэнерго (прив.);TNS Energo Yaroslavl PAO;TNS Energo Yaroslavl PAO Prf;РЭСК;TNS Energo Kuban’ PAO;Якутскэнерго;Якутскэнерго (прив.);Липецкая ЭСК;TNS Energo Mariy El PAO;TNS Energo Mariy El PAO Prf;Волгоградэнергосбыт;Волгоградэнергосбыт (прив.);ТРК;ТРК ОАО (прив.);Калужская сбытовая;Тамбовэнергосбыт;Тамбовэнергосбыт (прив.);АЭСК;Саратовэнерго (прив.);Саратовэнерго;Ставропольэнергосбыт (прив.);Ставропольэнергосбыт;Мордовэнергосбыт;КСБ (прив.);КСБ;;;;;;;;;;;
Конгломераты;Textron;Росинтер ОАО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Энергетика;Exxon Mobil;Chevron;Газпром;ConocoPhillips;Роснефть;НОВАТЭК;ЛУКОЙЛ;EOG Resources;Pioneer Natural;Marathon Petroleum;Williams;Phillips 66;Газпром нефть;Occidental;Valero Energy;Devon Energy;ONEOK;Hess;Halliburton;Baker Hughes;Diamondback;Coterra Energy;Татнефть (прив.);Татнефть;Сургутнефтегаз;Сургутнефтегаз (прив.);Транснефть (прив.);PetroChina ADR;Marathon Oil;APA Corp;Nov;Southwestern Energy;Распадская;Башнефть ПАО;Башнефть (прив.);PBF Energy;Yakutskaya Toplivno Energeticheskaya Kompaniya PAO;Южный Кузбасс ОАО;РуссНефть;Славнефть Мегионнефтегаз;Славнефть-МНГ (прив.);Var’yeganneftegaz PAO Prf;Var’yeganneftegaz PAO;Славнефть-ЯНОС;Славнефть ЯНОС (прив.);КТК ОАО;Белон;Саратовский НПЗ;Саратовский НПЗ (прив.);
Материалы;Сегежа Групп;Уральская кузница;Ижсталь (прив.);ТКСМ OAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Промышленность;Uber Tech;Plug Power;HMS Hydraulic Machines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Потребительский сектор;Ross Stores;Hilton Worldwide;Gaz PAO Pref;Газ;ОР;Svetofor Group PAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Производители товаров массового потребления;Walmart;Costco;Walgreens Boots;РОС АГРО ПЛС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Здравоохранение;Merck&Co;Danaher;Moderna;Amgen;West Pharmaceutical Services;Cardinal Health;United Medical Group Cy Plc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Финансы;Fifth Third;Regions Financial;САФМАР Финансовые инвестиции;Бест Эффортс Банк;Фонд первичных;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Информационные технологии;Microsoft;Apple;ServiceNow Inc;IBM;Micron;Fiserv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Услуги связи;Meta Platforms;Hello Group;Cinemark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Коммунальные услуги;Дагэнергосбыт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Недвижимость;Галс-Девелопмент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
